title,content,topic,sentiment
"ผู้ปกครองกังวลความปลอดภัยเส้นทางไปโรงเรียน","ผู้ปกครองในชุมชนแสดงความกังวลเรื่องความปลอดภัยของเส้นทางเดินไปโรงเรียนที่ไม่มีทางเท้าและไฟส่องสว่าง หน่วยงานรับเรื่องและเตรียมสำรวจเพื่อปรับปรุง",society,negative
"โครงการอาหารกลางวันเพิ่มคุณภาพโภชนาการ","โรงเรียนร่วมกับชุมชนปรับปรุงเมนูอาหารกลางวันให้มีผักและโปรตีนเพิ่มขึ้น โดยรับซื้อวัตถุดิบจากเกษตรกรในพื้นที่ ช่วยทั้งโภชนาการเด็กและรายได้ชุมชน",society,positive
"สังคมสูงวัยกดดันระบบสวัสดิการ","นักวิชาการเตือนว่าการเข้าสู่สังคมสูงวัยอย่างสมบูรณ์จะกดดันระบบสวัสดิการและงบประมาณด้านสุขภาพ จึงควรเตรียมระบบการออมและการดูแลระยะยาวไว้ล่วงหน้า",society,negative
"เปิดพื้นที่รับฟังปัญหาเยาวชนในชุมชน","หน่วยงานจัดเวทีให้เยาวชนสะท้อนปัญหาที่พบในชุมชน ทั้งเรื่องพื้นที่สร้างสรรค์และความปลอดภัย ข้อเสนอบางส่วนถูกบรรจุเข้าแผนพัฒนาท้องถิ่นปีถัดไป",society,positive
"คนในชุมชนช่วยกันดูแลผู้ป่วยติดเตียง","เครือข่ายจิตอาสาในชุมชนจัดเวรผลัดกันเยี่ยมและช่วยดูแลผู้ป่วยติดเตียงที่ไม่มีญาติ ทำให้ผู้ป่วยได้รับการดูแลต่อเนื่องและญาติผู้ดูแลได้พักผ่อน",society,positive
"ปัญหาที่จอดรถในชุมชนนำไปสู่ความขัดแย้ง","ที่จอดรถไม่เพียงพอในชุมชนหนาแน่นทำให้เกิดข้อพิพาทระหว่างเพื่อนบ้านบ่อยครั้ง คณะกรรมการชุมชนจัดทำกติกาการใช้พื้นที่ร่วมกันเพื่อลดความขัดแย้ง",society,negative
"บริจาคสิ่งของช่วยผู้ประสบภัยล้นความคาดหมาย","ประชาชนร่วมบริจาคสิ่งของช่วยผู้ประสบภัยจำนวนมากเกินความคาดหมาย ผู้จัดต้องเปิดจุดรับเพิ่มและประสานการกระจายไปยังพื้นที่ที่ยังขาดแคลน",society,positive
"เด็กในพื้นที่ห่างไกลขาดอุปกรณ์การเรียน","การสำรวจพบเด็กในพื้นที่ห่างไกลจำนวนหนึ่งขาดอุปกรณ์การเรียนพื้นฐานและอินเทอร์เน็ต ทำให้เสียโอกาสเรียนรู้ องค์กรการกุศลเริ่มระดมทุนช่วยเหลือ",society,negative
"ชุมชนได้รับรางวัลการจัดการขยะต้นแบบ","ชุมชนได้รับรางวัลระดับจังหวัดจากการจัดการขยะแบบแยกประเภทและทำปุ๋ยหมัก ลดปริมาณขยะที่ต้องส่งกำจัดได้กว่าครึ่ง และมีรายได้จากการขายวัสดุรีไซเคิล",society,positive
"เสียงร้องเรียนเรื่องเสียงดังรบกวนในที่พักอาศัย","ผู้อยู่อาศัยในอาคารชุดร้องเรียนปัญหาเสียงดังรบกวนในเวลากลางคืน นิติบุคคลออกประกาศกำหนดเวลาและมาตรการดูแล เพื่อลดข้อพิพาทระหว่างผู้พักอาศัย",society,negative
"ผู้หญิงมีบทบาทเป็นผู้นำชุมชนเพิ่มขึ้น","การสำรวจพบสัดส่วนผู้หญิงที่ดำรงตำแหน่งผู้นำชุมชนเพิ่มขึ้นอย่างชัดเจน ซึ่งช่วยให้ประเด็นด้านครอบครัวและเด็กได้รับการผลักดันในแผนพัฒนามากขึ้น",society,positive
"แรงงานย้ายถิ่นเผชิญปัญหาที่อยู่อาศัย","ผลศึกษาพบแรงงานย้ายถิ่นในเมืองอุตสาหกรรมเผชิญปัญหาที่อยู่อาศัยแออัดและค่าเช่าสูง นักวิจัยเสนอให้พัฒนาที่พักราคาเข้าถึงได้ใกล้แหล่งงาน",society,negative
"วัดและชุมชนร่วมจัดโรงทานช่วยผู้มีรายได้น้อย","วัดร่วมกับชุมชนจัดโรงทานแจกอาหารให้ผู้มีรายได้น้อยและคนไร้บ้านทุกสัปดาห์ มีผู้มารับบริการต่อเนื่อง และมีผู้บริจาควัตถุดิบเพิ่มขึ้นเรื่อย ๆ",society,positive
"ร้องเรียนการก่อสร้างส่งผลกระทบต่อบ้านข้างเคียง","ผู้อยู่อาศัยร้องเรียนว่าการก่อสร้างอาคารข้างเคียงทำให้ผนังบ้านร้าวและมีฝุ่นรบกวน เจ้าหน้าที่เข้าตรวจสอบและสั่งผู้รับเหมาปรับมาตรการป้องกันผลกระทบ",society,negative
"เปิดอบรมทักษะอาชีพให้ผู้ว่างงานในชุมชน","หน่วยงานจัดอบรมทักษะอาชีพระยะสั้นให้ผู้ว่างงานในชุมชน ทั้งงานช่างและการขายออนไลน์ ผู้ผ่านการอบรมบางส่วนเริ่มมีรายได้ภายในเดือนแรก",society,positive
"ปัญหาสุนัขจรจัดในพื้นที่สาธารณะ","ชาวบ้านสะท้อนปัญหาสุนัขจรจัดในพื้นที่สาธารณะที่ก่อความไม่ปลอดภัยและเสี่ยงโรค เทศบาลร่วมกับปศุสัตว์จัดหน่วยทำหมันและฉีดวัคซีนเคลื่อนที่",society,negative
"กลุ่มผู้สูงอายุจัดกิจกรรมออกกำลังกายทุกเช้า","กลุ่มผู้สูงอายุในชุมชนรวมตัวจัดกิจกรรมออกกำลังกายทุกเช้าที่ลานวัด ช่วยทั้งสุขภาพร่างกายและลดความเหงา สมาชิกใหม่เพิ่มขึ้นต่อเนื่องทุกเดือน",society,positive
"เยาวชนกลุ่มเสี่ยงได้รับการดูแลผ่านโครงการพี่เลี้ยง","โครงการพี่เลี้ยงจับคู่เยาวชนกลุ่มเสี่ยงกับผู้ใหญ่ในชุมชนเพื่อให้คำแนะนำและติดตามอย่างต่อเนื่อง ผลติดตามหนึ่งปีพบพฤติกรรมเสี่ยงลดลงอย่างมีนัยสำคัญ",society,positive
"ค่าเช่าที่พักในเมืองสูงขึ้นกระทบคนทำงาน","ผู้เช่าในเมืองใหญ่ระบุว่าค่าเช่าที่พักปรับสูงขึ้นเร็วกว่ารายได้ ทำให้ต้องย้ายไปอยู่ไกลออกไปและเสียเวลาเดินทางมากขึ้น นักวิชาการเสนอมาตรการที่อยู่อาศัยราคาเข้าถึงได้",society,negative
"ชุมชนติดตั้งไฟส่องสว่างเพิ่มความปลอดภัย","ชุมชนร่วมกับหน่วยงานติดตั้งไฟส่องสว่างตามตรอกซอยที่มืด ทำให้ผู้อยู่อาศัยรู้สึกปลอดภัยมากขึ้นเมื่อเดินกลับบ้านในเวลากลางคืน",society,positive
"การเข้าถึงข้อมูลข่าวสารของผู้สูงอายุยังจำกัด","ผลศึกษาพบผู้สูงอายุจำนวนมากยังเข้าถึงข้อมูลข่าวสารของรัฐได้จำกัด เนื่องจากช่องทางส่วนใหญ่เป็นออนไลน์ หน่วยงานเตรียมเพิ่มช่องทางเสียงและเอกสารตัวใหญ่",society,negative
"ตลาดนัดชุมชนช่วยลดค่าครองชีพผู้อยู่อาศัย","ตลาดนัดชุมชนที่จัดสัปดาห์ละสองครั้งช่วยให้ผู้อยู่อาศัยซื้อสินค้าจำเป็นในราคาถูกกว่าร้านค้าทั่วไป และเป็นพื้นที่พบปะที่สร้างความสัมพันธ์ในชุมชน",society,positive
"ผู้ประสบปัญหาหนี้นอกระบบเข้าสู่กระบวนการไกล่เกลี่ย","ศูนย์ไกล่เกลี่ยรับเรื่องผู้ประสบปัญหาหนี้นอกระบบจำนวนมาก และช่วยเจรจาปรับโครงสร้างหนี้กับเจ้าหนี้ ทำให้ลูกหนี้หลายรายกลับมาผ่อนชำระได้ตามความสามารถ",society,positive
"เกิดข้อถกเถียงเรื่องการใช้พื้นที่สาธารณะ","ชุมชนเกิดข้อถกเถียงเรื่องการจัดสรรการใช้พื้นที่สาธารณะระหว่างกลุ่มผู้ค้าและผู้ใช้พื้นที่ออกกำลังกาย หน่วยงานจัดเวทีเจรจาเพื่อหาข้อตกลงร่วมกัน",society,neutral
"สำรวจความคิดเห็นประชาชนเรื่องบริการท้องถิ่น","หน่วยงานท้องถิ่นสำรวจความคิดเห็นประชาชนเกี่ยวกับคุณภาพบริการสาธารณะ ผลสำรวจจะนำไปใช้ปรับปรุงแผนงบประมาณและลำดับความสำคัญของโครงการ",society,neutral
"ประชาชนพอใจบริการศูนย์ราชการแบบเบ็ดเสร็จ","ศูนย์บริการราชการแบบเบ็ดเสร็จได้รับคะแนนความพึงพอใจสูง เนื่องจากประชาชนติดต่อหลายหน่วยงานได้ในจุดเดียวและใช้เวลาน้อยลงกว่าเดิมอย่างชัดเจน",society,positive
"เตือนภัยการหลอกลวงผู้สูงอายุในชุมชน","ผู้นำชุมชนเตือนสมาชิกให้ระวังกลุ่มบุคคลที่เข้ามาหลอกขายสินค้าราคาแพงเกินจริงกับผู้สูงอายุ และแนะให้ปรึกษาลูกหลานก่อนตัดสินใจซื้อทุกครั้ง",society,negative
สำนักทะเบียนประกาศขยายเวลาให้บริการช่วงวันหยุดยาว,สำนักทะเบียนท้องถิ่นประกาศขยายเวลาให้บริการงานทะเบียนราษฎรในช่วงวันหยุดยาว เพื่อรองรับประชาชนที่เดินทางกลับภูมิลำเนา โดยเปิดให้บริการตั้งแต่เวลา 08.30 ถึง 16.30 นาฬิกา รวมวันเสาร์,society,neutral
สำมะโนประชากรรอบใหม่เริ่มเก็บข้อมูลเดือนหน้า,สำนักงานสถิติแห่งชาติแจ้งกำหนดการเก็บข้อมูลสำมะโนประชากรและเคหะรอบใหม่ โดยเจ้าหน้าที่จะลงพื้นที่สัมภาษณ์ครัวเรือนตามตารางที่กำหนด และเปิดช่องทางให้ตอบแบบสอบถามออนไลน์ควบคู่กัน,society,neutral
เทศบาลเปิดรับฟังความเห็นร่างเทศบัญญัติการจัดการขยะ,เทศบาลนครเปิดเวทีรับฟังความคิดเห็นต่อร่างเทศบัญญัติการจัดการขยะมูลฝอย กำหนดจัดรับฟังสามครั้งในพื้นที่สามเขต พร้อมเผยแพร่เอกสารร่างบนเว็บไซต์ของหน่วยงานตามระยะเวลาที่กำหนด,society,neutral
กรมการปกครองแจ้งปรับปรุงระบบบัตรประจำตัวประชาชนชั่วคราว,กรมการปกครองแจ้งปิดปรับปรุงระบบงานบัตรประจำตัวประชาชนเป็นการชั่วคราวในคืนวันศุกร์ถึงเช้าวันเสาร์ ขอให้ประชาชนที่ต้องการทำบัตรวางแผนการเดินทางล่วงหน้าตามประกาศของหน่วยงาน,society,neutral
สถิติผู้สูงอายุในทะเบียนราษฎรเพิ่มขึ้นเป็นร้อยละ 20,รายงานสถิติประชากรระบุว่าสัดส่วนผู้มีอายุ 60 ปีขึ้นไปในทะเบียนราษฎรเพิ่มขึ้นเป็นร้อยละ 20 ของประชากรทั้งหมด หน่วยงานที่เกี่ยวข้องอยู่ระหว่างจัดทำแผนรองรับสังคมผู้สูงอายุ,society,neutral
ประกาศกำหนดเขตเลือกตั้งท้องถิ่นเผยแพร่ในราชกิจจานุเบกษา,ประกาศกำหนดเขตเลือกตั้งสมาชิกสภาท้องถิ่นได้เผยแพร่ในราชกิจจานุเบกษาแล้ว โดยระบุจำนวนเขตและรายละเอียดแนวเขตในแต่ละอำเภอ ผู้มีสิทธิเลือกตั้งสามารถตรวจสอบรายชื่อได้ตามช่องทางที่แจ้ง,society,neutral
ศูนย์พักคอยชุมชนเปิดให้บริการเพิ่มอีกสามแห่ง,หน่วยงานท้องถิ่นร่วมกับอาสาสมัครสาธารณสุขเปิดศูนย์พักคอยชุมชนเพิ่มอีกสามแห่ง รองรับผู้ที่ต้องการที่พักชั่วคราว โดยมีเจ้าหน้าที่ประจำและจัดอาหารสามมื้อ ได้รับเสียงชื่นชมจากคนในพื้นที่,society,positive
ชาวชุมชนร้องเรียนปัญหาน้ำประปาไม่ไหลติดต่อกันหลายวัน,ชาวชุมชนในเขตเทศบาลรวมตัวยื่นหนังสือร้องเรียนปัญหาน้ำประปาไม่ไหลติดต่อกันหลายวัน ทำให้ต้องซื้อน้ำใช้เอง ตัวแทนชุมชนเรียกร้องให้หน่วยงานชี้แจงสาเหตุและกำหนดเวลาแก้ไขที่ชัดเจน,society,negative
อาสาสมัครร่วมปรับปรุงบ้านผู้ยากไร้ครบ 100 หลัง,โครงการความร่วมมือระหว่างหน่วยงานท้องถิ่นและกลุ่มอาสาสมัครปรับปรุงบ้านให้ผู้ยากไร้ครบ 100 หลังตามเป้าหมาย ผู้ได้รับความช่วยเหลือกล่าวขอบคุณ และโครงการเตรียมขยายไปยังอำเภอใกล้เคียง,society,positive
มูลนิธิเปิดรับลงทะเบียนขอรับทุนการศึกษาประจำปี,มูลนิธิเพื่อเด็กและเยาวชนประกาศเปิดรับลงทะเบียนขอรับทุนการศึกษาประจำปี ระบุคุณสมบัติผู้สมัคร เอกสารประกอบ และช่วงเวลารับสมัคร โดยจะประกาศผลการพิจารณาผ่านเว็บไซต์ของมูลนิธิ,society,neutral
ผู้พิการร้องเรียนทางเท้าและทางลาดไม่ได้มาตรฐาน,กลุ่มตัวแทนผู้พิการยื่นหนังสือร้องเรียนว่าทางเท้าและทางลาดในย่านใจกลางเมืองไม่ได้มาตรฐาน มีสิ่งกีดขวางและความชันเกินกำหนด ทำให้ใช้รถเข็นได้ยากและเสี่ยงเกิดอุบัติเหตุ,society,negative
หอสมุดประชาชนประกาศเวลาเปิดให้บริการใหม่,หอสมุดประชาชนประกาศปรับเวลาเปิดให้บริการใหม่ เริ่มตั้งแต่ต้นเดือนหน้า โดยเปิดบริการวันอังคารถึงวันอาทิตย์ และปิดทำการวันจันทร์และวันหยุดนักขัตฤกษ์ตามประกาศที่ติดไว้หน้าอาคาร,society,neutral
